Name	Set	Set #	Imagefile	Side	Culture	Type	Twilight	Strength	Vitality	Resistance	Signet/Site#	Unique	Rarity	Card#	Notes	Lore	Text
Gate Trooper	Battle of Helm's Deep	5	LOTR05098	Shadow	Sauron	Minion - Orc	1	5	2		6		C	98		Another dreadful day of fear and toil had come to Mordor; and the night-guards were summoned....	When you play this minion, you may exert him and spot 5 burdens to draw a card.
Gate Veteran	Battle of Helm's Deep	5	LOTR05099	Shadow	Sauron	Minion - Orc	2	7	2		6		C	99		...the day-guards, evil-eyed and fell, were marching to their posts.	When you play this minion, you may exert him and spot 6 companions to draw a card.
Grishnakh, Orc Captain	Battle of Helm's Deep	5	LOTR05100	Shadow	Sauron	Minion - Orc	4	11	3		6	U	R	100		'They might agree with me, with Grishn?kh....'	Tracker. The site number of each [SAURON] Orc is -3. Shadow: Exert Grishnakh twice and spot another [SAURON] Orc to draw 3 cards. The Free Peoples player may add 2 burdens to prevent this.
Grishnakh, Orc Captain (T)	Battle of Helm's Deep	5	LOTR05100T	Shadow	Sauron	Minion - Orc	4	11	3		6	U	R	100T	Tengwar	'They might agree with me, with Grishn?kh....'	Tracker. The site number of each [SAURON] Orc is -3. Shadow: Exert Grishnakh twice and spot another [SAURON] Orc to draw 3 cards. The Free Peoples player may add 2 burdens to prevent this. 
I'd Make You Squeak	Battle of Helm's Deep	5	LOTR05101	Shadow	Sauron	Condition	0						U	101		'If I had my way, you'd wish you were dead now.'	To play, exert 2 [SAURON] Orcs. Plays to your support area. The Shadow number of each site is +1 for each wound on a Hobbit (limit +3).
Morannon	Battle of Helm's Deep	5	LOTR05102	Shadow	Sauron	Condition	0					U	R	102		The black gate of Mordor was called the Morannon.	Plays to your support area. The twilight cost of the first [SAURON] Orc played at site 4T is -3. Shadow: Spot 2 [SAURON] Orcs and discard 4 cards from hand to draw 3 cards. Discard this condition.
Orc Captain	Battle of Helm's Deep	5	LOTR05103	Shadow	Sauron	Minion - Orc	3	9	3		6		R	103		...far away from hidden holds and outposts in the hills came answering calls....	When you play this minion, you may spot a [SAURON] condition to draw a card for each site you control (limit 3).
Orc Cutthroat	Battle of Helm's Deep	5	LOTR05104	Shadow	Sauron	Minion - Orc	3	9	3		6	U	U	104		A few Orc casualties were of no concern to him.	Tracker. The site number of each [SAURON] Orc is -3. Skirmish: Discard another [SAURON] Orc and exert Orc Cutthroat to wound a companion he is skirmishing.
Orc Fighter	Battle of Helm's Deep	5	LOTR05105	Shadow	Sauron	Minion - Orc	3	9	3		6		U	105		The Orcs of Mordor extended the will of Sauron to control the weak Men of the East.	Regroup: Spot a [SAURON] condition and exert this minion to take control of a site.
Orc Infantry	Battle of Helm's Deep	5	LOTR05106	Shadow	Sauron	Minion - Orc	1	5	2		6		C	106		Barad-d?r sent Orcs to all corners of Middle-earth.	Regroup: Spot a [SAURON] condition and discard this minion to take control of a site.
Orc Patrol	Battle of Helm's Deep	5	LOTR05107	Shadow	Sauron	Minion - Orc	4	11	3		6	U	U	107		Sauron's Orcs ranged far and wide, searching for Baggins and the Ring.	Tracker. The site number of each [SAURON] Orc is -3. Maneuver: Exert Orc Patrol twice and spot another [SAURON] Orc to discard a condition.
Orc Pursuer	Battle of Helm's Deep	5	LOTR05108	Shadow	Sauron	Minion - Orc	2	6	2		6		C	108	Version: *. 	'...why not kill them now? They're a cursed nuisance, and we're in a hurry.'	Tracker. The site number of each [SAURON] Orc is -1. When you play this minion, you may exert him and remove (2) to draw a card.
Orc Runner	Battle of Helm's Deep	5	LOTR05109	Shadow	Sauron	Minion - Orc	2	6	2		6		C	109		'There's no time to kill them properly.... No time for play on this trip.'	Tracker. The site number of each [SAURON] Orc is -1. When you play this minion you may exert him and discard 2 cards from hand to draw a card.
Teeth of Mordor	Battle of Helm's Deep	5	LOTR05110	Shadow	Sauron	Condition	1						U	110		None could pass the Teeth of Mordor and not feel their bite....	Plays to your support area. Regroup: Spot a [SAURON] Orc and remove (3) to stack that minion here. Shadow: Play a [SAURON] Orc stacked here as if played from hand.
Frodo, Master of the Precious	Battle of Helm's Deep	5	LOTR05111	Free Peoples	Shire	Companion - Hobbit	0	3	4	10	Aragorn	U	U	111		'We promises, yes I promise!... Good master, good Sm?agol, gollum, gollum!'	Ring-bearer (resistance 10). Fellowship: Add a burden to play Smeagol from your discard pile.
No Help for It	Battle of Helm's Deep	5	LOTR05112	Free Peoples	Shire	Event	0						R	112		'...he'll come back, you'll see. The promise will hold yet a while. And he won't leave his Precious, anyway.'	Regroup: Spot Sam and discard Smeagol or Gollum to remove 3 burdens.
No Use That Way	Battle of Helm's Deep	5	LOTR05113	Free Peoples	Shire	Event	0						R	113		'Don't take the Precious to Him!... Keep it, nice master, and be kind to Sm?agol.'	Skirmish: Add 3 burdens to wound a minion skirmishing a companion who has the Frodo signet twice.
Rare Good Ballast	Battle of Helm's Deep	5	LOTR05114	Free Peoples	Shire	Condition	1		1			U	U	114		'What a hobbit needs with coney... is some herbs and roots, especially taters - not to mention bread.'	Plays on Sam. Response: If a regroup special ability is used, discard Smeagol or Gollum to cancel that action.
Sam, Nice Sensible Hobbit	Battle of Helm's Deep	5	LOTR05115	Free Peoples	Shire	Companion - Hobbit	2	3	4	6	Aragorn	U	U	115		'Trust Sm?agol now? Very, very good.'	Ring-bound. While you can spot Frodo and Smeagol, Sam may not be overwhelmed unless is strength is tripled. Response: If Frodo is killed, make Sam the Ring-bearer (resistance 5).
Sting, Baggins Heirloom	Battle of Helm's Deep	5	LOTR05116	Free Peoples	Shire	Possession - Hand Weapon	1	2				U	R	116		'This is Sting. You have seen it before once upon a time.'	Bearer must be Frodo. Skirmish: Exert Frodo to make Smeagol strength +2 or Gollum strength -2.
Sting, Baggins Heirloom (T)	Battle of Helm's Deep	5	LOTR05116T	Free Peoples	Shire	Possession - Hand Weapon	1	2				U	R	116T	Tengwar. Image fixed. The collector?s information on the Tengwar version of this card (a tournament promo card) was printed incorrectly as 4R100. There are no printed Tengwar versions with the correct info (5R116).	'This is Sting. You have seen it before once upon a time.'	Bearer must be Frodo. Skirmish: Exert Frodo to make Smeagol strength +2 or Gollum strength -2. 
You Must Help Us	Battle of Helm's Deep	5	LOTR05117	Free Peoples	Shire	Event	0						C	117		'You will have to come with us, that's all, while we keep an eye on you.'	Fellowship: Play Smeagol from your discard pile to heal each Ring-bound Hobbit twice.
Hornburg Wall	Battle of Helm's Deep	5	LOTR05118	Site	Site	Site	6				7T		U	118			Regroup: Spot your minion and remove (9) to make the fellowship move again this turn (if the move limit allows). 
Nan Curunir	Battle of Helm's Deep	5	LOTR05119	Site	Site	Site	8				8T		U	119			Plains. Response: If your mounted minion is about to take a wound, remove (2) to prevent that wound. 
Caverns of Isengard	Battle of Helm's Deep	5	LOTR05120	Site	Site	Site	9				9T		U	120			Underground. The Free Peoples player wins the game only if the Ring-bearer survives until Shadow players reconcile. 
Legolas, Archer of Mirkwood	Battle of Helm's Deep	5	LOTR05121	Free Peoples	Elven	Companion - Elf	2	6	3	6	Theoden	U	P	121		'...even more would I give for a hundred good archers of Mirkwood. We shall need them.'	Archer. Each time Legolas wins a skirmish, you may heal a Dwarf companion or another Elf companion.
Eowyn, Daughter of Eomund	Battle of Helm's Deep	5	LOTR05122	Free Peoples	Rohan	Companion - Man	2	6	3	6	Gandalf	U	P	122		'Let the heralds announce to the folk that the Lady ?owyn will lead them!'	Valiant. Maneuver: Play a [ROHAN] possession on Eowyn to heal her.
Baruk Khazad (AI)	Battle of Helm's Deep	5	LOTR05123	Free Peoples	Dwarven	Event	0						R	123	Alternate image.	Axes of the Dwarves!` cried Gimli in the secret tongue of his kin.	Maneuver: Exert a Dwarf to wound a minion. You may take the next maneuver action.
Break the Charge (AI)	Battle of Helm's Deep	5	LOTR05124	Free Peoples	Elven	Event	2						R	124	Alternate image.	A wall of Elven arrows met the attackers before they reached the Hornburg itself.	Archery: Exert 3 Elf companions to make the fellowship archery total +2.
Foul Horde (AI)	Battle of Helm's Deep	5	LOTR05125	Shadow	Isengard	Minion - Orc	4	9	3		4	U	R	125	Alternate image.		Warg-rider. While Foul Horde is not exhausted, it is fierce. While Foul Horde has at least 3 vitality, it is ambush (1). While Foul Horde has at least 4 vitality, it is damage + 1.
Army of Haradrim (AI)	Battle of Helm's Deep	5	LOTR05126	Shadow	Raider	Minion - Man	7	14	4		4	U	R	126	Alternate image.	Lacking shields and armor, Southron forces rely on speed and numbers.	Southron. Skirmish: Remove (3) to play a [RAIDER] mount from your discard pile.
Rohirrim Helm (AI)	Battle of Helm's Deep	5	LOTR05127	Free Peoples	Rohan	Possession - Helm	1						R	127	Alternate image.	A helm split by an Uruk blade often still saves the rider who wears it.	Bearer must be [ROHAN] Man. Skirmish: Discard this possession to cancel a skirmish involving bearer. A minion in this skirmish may exert to prevent this.
Thundering Host (AI)	Battle of Helm's Deep	5	LOTR05128	Free Peoples	Rohan	Condition	1						R	128	Alternate image.	The roar of hooves was enough to rout the Uruk-hai without sword or spear.	Plays to your support area. Skirmish: Discard this condition to make a mounted [ROHAN] Man strength +3 (and heal that man if at a plains).
Gollum, Stinker (M)	Battle of Helm's Deep	5	LOTR05M01	Shadow	Gollum	Minion	2	5	4		3	U	M	1M	Oversized.		Gollum is strength +1 for each burden. Each times Gollum wins a skirmish, you may add a burden.
Grima, Chief Counselor (M)	Battle of Helm's Deep	5	LOTR05M02	Shadow	Isengard	Minion - Man	2	4	3		3	U	M	2M	Oversized.		Maneuver: Spot 4 Free Peoples cultures and exert Grima to return an unbound companion, and all cards on him or her, to their owners? hands.
Bound By Rage	Ents of Fangorn	6	LOTR06001	Shadow	Dunland	Condition	3					U	C	1			Plays to your support area. When you play this condition, you may spot 2 [DUNLAND] Men to place 2 [DUNLAND] tokens here. Response: If a [DUNLAND] Man is about to take a wound, discard this condition or remove a [DUNLAND] token from here to prevent that wound.
Dunlending Elder	Ents of Fangorn	6	LOTR06002	Shadow	Dunland	Minion - Man	2	7	1		3		C	2		Hatred of the Rohirrim is passed from generation to generation.	While you control 2 sites, this minion is strength +5, fierce and damage +1.
Dunlending Footmen	Ents of Fangorn	6	LOTR06003	Shadow	Dunland	Minion - Man	5	11	2		3		C	3		Driven by Saruman's ranting, waves of Dunlendings descended upon the holdings of Rohan.	The twilight cost of this minion during a skirmish phase is -2.
Dunlending Headman	Ents of Fangorn	6	LOTR06004	Shadow	Dunland	Minion - Man	4	10	1		3		C	4		The diminished Rohirrim offered little resistance to the advancing Dunland horde.	When you play this minion, you may spot 2 other [DUNLAND] Men to take control of a site. The Free Peoples player may discard 2 cards from hand to prevent this.
Dunlending Reserve	Ents of Fangorn	6	LOTR06005	Shadow	Dunland	Minion - Man	4	10	1		3		C	5		The relentless campaign of the hillmen drove citizens of the Westfold to the shelter of their capital.	The twilight cost of this minion during a skirmish phase is -2.
Hill Clan	Ents of Fangorn	6	LOTR06006	Shadow	Dunland	Minion - Man	8	17	2		3		R	6		`'We will take their king.'	Each time this minion wins a skirmish, you may play a [DUNLAND] Man from hand. That Man is fierce and damage +2 until the regroup phase.
Ready to Fall	Ents of Fangorn	6	LOTR06007	Shadow	Dunland	Condition	1						R	7		'Why do you lay these troubles on an already troubled mind?'	Plays to your support area. Shadow: Spot 2 sites you control and remove (2) to play a [DUNLAND] Man from your discard pile.
Too Long Have These Peasants Stood	Ents of Fangorn	6	LOTR06008	Shadow	Dunland	Event	2						U	8		The rabble of Dunland pillaged their way across the Mark.	Response: If a [DUNLAND] Man wins a skirmish, discard all conditions.
Lend Us Your Aid	Ents of Fangorn	6	LOTR06009	Free Peoples	Dwarven	Event	0						U	9		He hewed a two-handed stroke and laid the last Orc before his feet. 'Now my count passes Master Legolas again.'	Maneuver: Exert Gimli twice to make him and each Elf companion strength +3 until the regroup phase.
Suspended Palaces	Ents of Fangorn	6	LOTR06010	Free Peoples	Dwarven	Condition	2					U	C	10			Plays to your support area. When you play this condition, you may spot a Dwarf to place 2 [DWARVEN] tokens here. Fellowship: Discard this condition or remove a [DWARVEN] token from here to stack the top card of your draw deck on a [DWARVEN] condition that has a card stacked on it.
Toss Me	Ents of Fangorn	6	LOTR06011	Free Peoples	Dwarven	Event	1						R	11		'Don't tell the Elf.'	While this card is stacked on a [DWARVEN] condition, Gimli is strength +1. Fellowship: Place this card or another [DWARVEN] card from hand on top of or beneath your draw deck.
Agility	Ents of Fangorn	6	LOTR06012	Free Peoples	Elven	Condition	2					U	C	12		Elves rely upon more than strength in combat.	Plays to your support area. When you play this condition, you may spot an Elf to place 2 [ELVEN] tokens here. Skirmish: Discard this condition or remove an [ELVEN] token from here to make a minion skirmishing an Elf strength -1.
Arwen, Evenstar of Her People	Ents of Fangorn	6	LOTR06013	Free Peoples	Elven	Companion - Elf	2	6	3	6	Aragorn	U	U	13		'If you trust nothing else, trust this... trust us.'	Skirmish: Exert an Elf to make a minion skirmishing Arwen strength -1.
Banner of Elbereth	Ents of Fangorn	6	LOTR06014	Free Peoples	Elven	Possession - Hand Weapon	1						U	14		'First name the four, the free peoples: / Eldest of all, the elf-children...'	Bearer must be an Elf companion. Each time bearer wins a skirmish, you may draw a card. Response: If bearer wins a skirmish, discard this possession to liberate a site.
Elrond, Keeper of Vilya	Ents of Fangorn	6	LOTR06015	Free Peoples	Elven	Ally - Home 3 - Elf	4	8	4		3	U	R	15		'You have foreseen it. War is coming... many will die.'	At the start of each turn, heal Elrond. Fellowship: Exert Elrond to discard the top card of your draw deck. If it is an [ELVEN] card, you may take it into hand and heal an Elf companion.
Forearmed	Ents of Fangorn	6	LOTR06016	Free Peoples	Elven	Event	1						U	16		'Give them a volley.'	Skirmish: Reveal the top card of your draw deck to make a minion skirmishing an Elf strength -X, where X is the twilight cost of the revealed card.
Forewarned	Ents of Fangorn	6	LOTR06017	Free Peoples	Elven	Condition	0						C	17		'Whether by the sword or the slow decay of time, Aragorn will die.'	To play, spot 2 Elves. Plays to your support area. Fellowship: Add (1) to look at the top card of your draw deck. You may discard this condition to discard that card.
Galadriel, Keeper of Nenya	Ents of Fangorn	6	LOTR06018	Free Peoples	Elven	Ally - Home 6 - Elf	3	3	3		6	U	R	18		'In Dwimordene, in L?rien / More fair than thoughts of Mortal Men.'	At the start of each turn, heal Galadriel. Skirmish: Exert Galadriel to discard the top card of your draw deck. If it is a Shadow card, make a minion skirmishing an Elf strength -3.
Gift of Foresight	Ents of Fangorn	6	LOTR06019	Free Peoples	Elven	Event	1						U	19		'Here you will dwell, bound to your grief, under the fading trees.'	Fellowship: Spot an Elf to reveal the top card of your draw deck. You may discard it, return it to the top of your draw deck, or take it into hand.
Must Be a Dream	Ents of Fangorn	6	LOTR06020	Free Peoples	Elven	Event	0						U	20		'May the Grace of the Valar protect you.'	Fellowship: Spot an Elf to reveal the top card of your draw deck. Heal up to 2 companions whose culture matches the revealed card. You may discard the revealed card.
Naith Longbow	Ents of Fangorn	6	LOTR06021	Free Peoples	Elven	Possession - Ranged Weapon	1	1					C	21		'Show them no mercy, for you shall receive none.'	Bearer must be an Elf companion. Archery: Exert bearer to discard the top card of your draw deck. If it is an [ELVEN] card, exert a minion.
Naith Troop	Ents of Fangorn	6	LOTR06022	Free Peoples	Elven	Companion - Elf	3	8	3	6		U	U	22		Now only the bow and the sword can forestall the coming of the Shadow.	To play, spot 3 Elf companions. Skirmish: Exert Naith Troop to discard the top card of your draw deck. If it is an [ELVEN] card, make a minion skirmishing Naith Troop strength -2.
Naith Warband	Ents of Fangorn	6	LOTR06023	Free Peoples	Elven	Companion - Elf	4	9	3	6		U	R	23		'But do not think that only by singing amid the trees... is Lothl?rien maintained and defended....'	To play, spot 3 Elf companions. While Naith Warband bears a ranged weapon, it takes no more than 1 wound during each skirmish phase and does not add to the fellowship archery total.
Boomed and Trumpeted	Ents of Fangorn	6	LOTR06024	Free Peoples	Gandalf	Event	0						U	24		'For bole and bough are burning now, the furnace roars-we go to war!'	Skirmish: Make an Ent strength +X and damage +X, where X is the number of unbound Hobbits you can spot.
Crack Into Rubble	Ents of Fangorn	6	LOTR06025	Free Peoples	Gandalf	Event	1						U	25		'To Isengard! Though Isengard be ringed and barred with doors of stone; / Though Isengard be strong and hard, as cold as stone and bare as bone....'''	Regroup: Exert 2 Ents to liberate a site and discard a Shadow condition.
Enraged	Ents of Fangorn	6	LOTR06026	Free Peoples	Gandalf	Condition	2	4					R	26		`'An angry Ent is terrifying.'	Bearer must be an Ent. Limit 1 per bearer. Discard this condition at the end of the turn.
Ent Avenger	Ents of Fangorn	6	LOTR06027	Free Peoples	Gandalf	Companion - Ent	4	6	4	6			C	27	Version: *. 	As they drew near the flash and flicker of their eyes could be seen.	While you can spot 3 Ents, this companion is strength +2.
Ent Horde	Ents of Fangorn	6	LOTR06028	Free Peoples	Gandalf	Companion - Ent	15	10	5	6		U	R	28		'With doom we come, with doom we come!'	To play, spot 2 Ent companions. Ent Horde's twilight cost is -2 for each Ent or unbound Hobbit you can spot. While you can spot more minions than companions, Ent Horde is defender +1.
Ent Moot	Ents of Fangorn	6	LOTR06029	Free Peoples	Gandalf	Condition	1	2					C	29		But when the Ents all gathered round Treebeard,... then the Hobbits saw that they were all of the same kindred, and all had the same eyes....	To play, exert an unbound Hobbit. Bearer must be an Ent. Limit 1 per bearer.
Gandalf, Mithrandir	Ents of Fangorn	6	LOTR06030	Free Peoples	Gandalf	Companion - Wizard	4	10	4	6	Aragorn	U	R	30		'The Dark Lord has Nine. But we have One, mightier than they: the White Rider. He has passed through the fire and the abyss, and they shall fear him.'	Damage +1. Each time the fellowship moves, wound Gandalf.
Glamdring, Lightning Brand	Ents of Fangorn	6	LOTR06031	Free Peoples	Gandalf	Possession - Hand Weapon	2	2				U	R	31		'Thunder they heard, and lightning... smote upon Celebdil, and leaped back broken into tongues of fire.'	Bearer must be Gandalf. He is damage +1. Each time you play a spell during a skirmish, you may make Gandalf damage +1 until the end of that skirmish.
Host of Fangorn	Ents of Fangorn	6	LOTR06032	Free Peoples	Gandalf	Companion - Ent	13	10	4	6		U	U	32		'Of course, it is likely enough, my friends...that we are going to our doom, the last march of the Ents.'	To play, spot 2 Ent companions. Host of Fangorn's twilight cost is -2 for each Ent or unbound Hobbit you can spot.
Quickbeam, Bregalad	Ents of Fangorn	6	LOTR06033	Free Peoples	Gandalf	Companion - Ent	4	8	3	6		U	C	33	Like other similar cards, this card?s game text should say ?Ent or unbound Hobbit. ? For each Ent or each unbound Hobbit, the twilight cost is -1. 	'But if we stayed home and did nothing, doom would find us anyway, sooner or later.'	Quickbeam's twilight cost is -1 for each Ent and unbound Hobbit you can spot.
Roused	Ents of Fangorn	6	LOTR06034	Free Peoples	Gandalf	Event	1						C	34		'To Isengard!' the Ents cried in many voices.	Skirmish: Exert an Ent to make him strength +1 for each Ent you spot (limit +4).
Skinbark, Fladrif	Ents of Fangorn	6	LOTR06035	Free Peoples	Gandalf	Companion - Ent	7	8	4	6		U	R	35		'He was wounded by Orcs, and many of his folk and tree-herds have been murdered and destroyed.'	Skinbark's twilight cost is -1 for each Ent or unbound Hobbit you can spot. Response: If an unbound Hobbit is about to take a wound, exert Skinbark to prevent that wound.
Threw Down My Enemy	Ents of Fangorn	6	LOTR06036	Free Peoples	Gandalf	Event	1						U	36		'...he fell from the high place and broke the mountain-side where he smote it in his ruin.'	Spell. Skirmish: Make a minion skirmishing Gandalf strength -1 for each wound on each character in the skirmish.
Treebeard, Guardian of the Forest	Ents of Fangorn	6	LOTR06037	Free Peoples	Gandalf	Companion - Ent	5	12	4	6		U	C	37		'The little that I know of his long slow story would make a tale for which we have no time now.'	Unhasty. Assignment: Exert an unbound Hobbit to allow Treebeard to skirmish. Skirmish: Exert Treebeard to make an Ent damage +1.
Don't Follow the Lights	Ents of Fangorn	6	LOTR06038	Free Peoples	Gollum	Event	0						C	38		'Careful, careful now or Hobbits go down to join the dead ones and light little candles.'	Response: If Smeagol wins a skirmish, add a burden to discard a minion.
Don't Look at Them	Ents of Fangorn	6	LOTR06039	Free Peoples	Gollum	Condition	1						R	39		'You should not look in when the candles are lit.'	Plays to your support area. Skirmish: Spot Smeagol and discard 3 cards from hand to wound a minion Smeagol is skirmishing once (or twice if that minion is a [WRAITH] minion).
Gollum, Old Villain	Ents of Fangorn	6	LOTR06040	Shadow	Gollum	Minion	2	5	4		3	U	C	40		'Must take it. The Wraiths are searching. Must take it.'	Skirmish: Discard a card from hand to make Gollum strength +1 (or +2 if skirmishing a Ring-Bound companion).
Master Broke His Promise	Ents of Fangorn	6	LOTR06041	Shadow	Gollum	Event	5						R	41		'Kill them! Kill them! Kill them both! And then we take the Precious! We be the Master!'	Regroup: Exert Gollum 3 times to wound each companion. The move limit for this turn is -1.
Nasty, Foul Hobbitses	Ents of Fangorn	6	LOTR06042	Shadow	Gollum	Event	0						C	42		'We ought to wring their filthy little necks!'	Response: If Gollum wins a skirmish, add a burden.
Not Listening	Ents of Fangorn	6	LOTR06043	Free Peoples	Gollum	Event	0						C	43		'They'll wake too quick and kill us... Not now. Not yet.'	Response: If Smeagol wins a skirmish, heal him and remove 2 burdens.
Safe Paths	Ents of Fangorn	6	LOTR06044	Free Peoples	Gollum	Event	5						R	44		'Soft and quick as shadows we must be!'	Regroup: Exert Smeagol 3 times and discard him to wound each minion. The move limit for this turn is +1. If the fellowship moves, each Shadow player may take up to 3 Shadow cards into hand from his or her discard pile.
Smeagol, Poor Creature	Ents of Fangorn	6	LOTR06045	Free Peoples	Gollum	Companion	0	3	4	6	Frodo	U	C	45		'And we're so lonely... We'll be nice to them, very nice, if they'll be nice to us, won't we, yes, yess.'	Ring-bound. To play, add a burden. Skirmish: Discard a card from hand to make Smeagol strength +1.
They Stole It	Ents of Fangorn	6	LOTR06046	Shadow	Gollum	Condition	1						R	46	Game text is a clarification. 	'Where iss it, where iss it: my precious....'	Plays to your support arear Skirmish: Spot Gollum and discard 3 cards from hand to wound a companion Gollum is skirmishing once (or twice if that companion is a [SHIRE] companion).
You're a Liar and a Thief	Ents of Fangorn	6	LOTR06047	Shadow	Gollum	Event	0						C	47		'No, sweet one. See, my precious: if we has it, then we can escape, even from Him, eh?'	Response: If Gollum wins a skirmish, wound a companion (except the Ring-bearer).
Anborn, Skilled Huntsman	Ents of Fangorn	6	LOTR06048	Free Peoples	Gondor	Companion - Man	2	6	3	6		U	C	48		'Perhaps under the shadow of the Unnamed some of the beasts of Mirkwood are wandering hither to our woods.'	Ring-bound. Ranger. Each time Anborn wins a skirmish, you may make a minion's site number +3 until the regroup phase.
Ancient Roads	Ents of Fangorn	6	LOTR06049	Free Peoples	Gondor	Condition	1						R	49		'...they go ever more heedlessly, we learn, thinking that the power of their new master is great enough....'	Plays to your support area. While you can spot 3 rangers, the site number of each minion skirmishing a ranger is +2.
Aragorn, Defender of Free Peoples	Ents of Fangorn	6	LOTR06050	Free Peoples	Gondor	Companion - Man	4	8	4	6	Theoden	U	R	50		'...this is the hour when we draw swords together.'	Skirmish: Remove an [ELVEN] token to make a minion skirmishing Aragorn strength -3. Skirmish: Remove a [DWARVEN] token to heal a Dwarf. Regroup: If Aragorn is mounted, remove a [ROHAN] token to wound a minion twice.
Banner of Westernesse	Ents of Fangorn	6	LOTR06051	Free Peoples	Gondor	Possession - Hand Weapon	1						U	51		'What brought they from the foundered land / Over the flowing sea?... / and one white tree.'	Bearer must be a [GONDOR] companion. Each time bearer wins a skirmish, you may heal another [GONDOR] companion. Response: If bearer wins a skirmish, discard this possession to liberate a site.
Garrison of Osgiliath	Ents of Fangorn	6	LOTR06052	Free Peoples	Gondor	Condition	2					U	C	52		'So ever do we watch the shores nigh Osgiliath....'	Fortification. Plays to your support area. When you play this condition, you may spot a [GONDOR] Man to place 2 [GONDOR] tokens here. Skirmish: Discard this condition or remove a [GONDOR] token from here to make a [GONDOR] Man strength +1.
Mortal Men	Ents of Fangorn	6	LOTR06053	Free Peoples	Gondor	Event	0						C	53		'I fear neither death nor pain.'	Skirmish: Make a [GONDOR] Man strength +2 (and exert a minion if you spot a [ROHAN] token).
Perilous Ventures	Ents of Fangorn	6	LOTR06054	Free Peoples	Gondor	Event	0						U	54		'But still we will not sit idle and let Him do all as He would....'	Regroup: Exert 2 rangers to discard a minion (or 2 [WRAITH] minions).
Ring of Barahir	Ents of Fangorn	6	LOTR06055	Free Peoples	Gondor	Artifact - Ring	0					U	R	55		'This is a thing of worth beyond your reckoning. For its ancientry alone. It has no power, save the esteem in which those hold it who love my house.'	Bearer must be Aragorn. At the start of each of your turns, you may spot a culture token to heal a companion of that culture.
Trust	Ents of Fangorn	6	LOTR06056	Free Peoples	Gondor	Event	0						C	56		'You cannot falter now.'	Skirmish: Make a [GONDOR] Man strength +2 (and heal a companion if you spot an [ELVEN] token).
Agents of Orthanc	Ents of Fangorn	6	LOTR06057	Shadow	Isengard	Minion - Man	5	9	3		3		R	57		'How long is it since Saruman bought you?'	This minion is strength +2 and damage +1 for each Free Peoples culture that you can spot over 2.
Assault Ladder	Ents of Fangorn	6	LOTR06058	Shadow	Isengard	Condition	1						U	58		'It is a great host....'	Machine. Plays to your support area. Shadow: Exert an Uruk-hai to place an [ISENGARD] token on this card. Skirmish: Spot 3 [ISENGARD] tokens here to make an Uruk-hai strength +3. Discard this condition.
Banner of Isengard	Ents of Fangorn	6	LOTR06059	Shadow	Isengard	Possession - Hand Weapon	0	1					C	59		...blazoned upon every helm and shield the ghastly hand of Isengard was seen.	Bearer must be an [ISENGARD] minion. Each time bearer wins a skirmish, the Free Peoples player must exert a companion for each site you control.
Berserk Butcher	Ents of Fangorn	6	LOTR06060	Shadow	Isengard	Minion - Uruk-hai	6	12	3		5	U	R	60			Damage +1. Berserk Butcher is strength +1 for each wound on each character in its skirmish. Maneuver: Remove an [ISENGARD] token from a machine and exert Berserk Butcher twice to prevent all wounds to Uruk-hai until the assignment phase.
Desertion	Ents of Fangorn	6	LOTR06061	Shadow	Isengard	Condition	1	-1					U	61		'Who knows what you've spoken to the darkness in the bitter watches of the night?'	To play, spot an [ISENGARD] Man. Plays on a companion (except the Ring-bearer). Assignment: Assign an [ISENGARD] minion with less strength than bearer to skirmish bearer. Discard this condition.
Fires and Foul Fumes	Ents of Fangorn	6	LOTR06062	Shadow	Isengard	Event	4						R	62		'One of them... got caught in a spray of some liquid fire and burned like a torch: a horrible sight.'	Regroup: Discard 4 [ISENGARD] orcs to wound a companion 4 times (except the Ring-bearer).
Gnawing, Biting, Hacking, Burning	Ents of Fangorn	6	LOTR06063	Shadow	Isengard	Condition	2						U	63		'Destroyers and usurpers.'	Plays to your support area. Each time a regroup action discards an [ISENGARD] Orc, you may stack that Orc on this card. Shadow: Discard 2 cards stacked here and remove (1) to play an [ISENGARD] Orc from your discard pile.
Iron Fist of the Orc	Ents of Fangorn	6	LOTR06064	Shadow	Isengard	Condition	1						U	64		'The old world will burn in the fires of industry.'	Plays to your support area. Each time a regroup action discards an [ISENGARD] Orc, you may stack that Orc on this card. Regroup: Discard 3 cards stacked here and remove (1) to discard a Free Peoples possession.
Isengard Artisan	Ents of Fangorn	6	LOTR06065	Shadow	Isengard	Minion - Orc	4	8	3		4		C	65		Minions of Orthanc shared their master's fascination with machines.	Regroup: Discard an [ISENGARD] Orc to make the Free Peoples player wound a companion.
Isengard Builder	Ents of Fangorn	6	LOTR06066	Shadow	Isengard	Minion - Orc	3	7	3		4		U	66		'They were all singing with harsh voices, and laughing, making a hideous din.'	Regroup: If stacked on an [ISENGARD] card, discard this card to add (2).
Isengard Journeyman	Ents of Fangorn	6	LOTR06067	Shadow	Isengard	Minion - Orc	2	5	3		4		C	67		Drudgery and toil at Isengard left Saruman's minions hungry for sport.	Regroup: Discard an [ISENGARD] Orc to make the Free Peoples player wound a companion.
